elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053
29,15,Fendall Close,585,643,All,8.95_1_74.61,8.95_1_74.61,8.95_1_74.61,8.95_1_74.61,8.95_1_74.61,8.95_1_74.61,8.95_1_74.61,8.95_1_74.61,8.95_1_74.61,8.95_1_74.61,8.95_1_74.61,8.95_1_74.61,4.39_1_59.87,4.39_1_59.87,4.39_1_59.87,4.39_1_59.87,4.39_1_59.87,4.39_1_59.87,4.39_1_59.87,4.39_1_59.87,4.39_1_59.87,4.39_1_59.87,4.39_1_59.87,4.39_1_59.87,6.92_1_94.4,6.92_1_94.4,6.92_1_94.4,6.92_1_94.4,6.92_1_94.4,6.92_1_94.4,6.92_1_94.4
30,15,Fendall Close,643,736,All,5.53_1_35.66,5.53_1_35.66,5.53_1_35.66,5.53_1_35.66,5.5_1_75.07,5.5_1_75.07,5.5_1_75.07,5.5_1_75.07,5.5_1_75.07,5.5_1_75.07,5.5_1_75.07,5.5_1_75.07,5.5_1_75.07,5.06_1_69.02,5.06_1_69.02,5.06_1_69.02,5.06_1_69.02,5.06_1_69.02,5.06_1_69.02,5.06_1_69.02,5.06_1_69.02,5.06_1_69.02,4.63_1_63.16,4.63_1_63.16,4.63_1_63.16,4.63_1_63.16,4.63_1_63.16,4.63_1_63.16,4.63_1_63.16,4.63_1_63.16,4.63_1_63.16
31,15,Fendall Close,736,814,All,20_0.5_106.12,20_0.5_106.12,5.56_1_75.88,5.56_1_75.88,5.56_1_75.88,5.56_1_75.88,5.56_1_75.88,5.56_1_75.88,5.56_1_75.88,5.56_1_75.88,5.56_1_75.88,5.11_1_69.75,5.11_1_69.75,5.11_1_69.75,5.11_1_69.75,5.11_1_69.75,5.11_1_69.75,5.11_1_69.75,5.11_1_69.75,5.11_1_69.75,4.68_1_63.8,4.68_1_63.8,4.68_1_63.8,4.68_1_63.8,4.68_1_63.8,4.68_1_63.8,4.68_1_63.8,4.68_1_63.8,4.68_1_63.8,4.26_1_58.07,4.26_1_58.07
32,9339,Weston Way,814,886,All,20.05_0.5_105.84,20.05_0.5_105.84,20.05_0.5_105.84,20.05_0.5_105.84,20.05_0.5_105.84,5.94_1_68.55,5.94_1_68.55,5.94_1_68.55,5.94_1_68.55,5.94_1_68.55,5.94_1_68.55,5.94_1_68.55,5.94_1_68.55,2.28_1_26.32,2.28_1_26.32,2.28_1_26.32,2.28_1_26.32,2.28_1_26.32,2.28_1_26.32,2.28_1_26.32,2.28_1_26.32,1.55_1_20.28,1.55_1_20.28,1.55_1_20.28,1.55_1_20.28,1.55_1_20.28,1.55_1_20.28,1.55_1_20.28,1.55_1_20.28,1_1_10,1_1_10
33,9339,Weston Way,886,939,All,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,2.55_1_29.44,2.55_1_29.44,2.55_1_29.44,2.55_1_29.44,2.55_1_29.44,2.55_1_29.44,2.55_1_29.44,2.55_1_29.44,2.55_1_29.44,2.55_1_29.44,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10
34,9339,Weston Way,965,1051,All,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,11_1_31.5,1.45_1_21.2,1.45_1_21.2,1.45_1_21.2,1.45_1_21.2,1.45_1_21.2,1.45_1_21.2,1.45_1_21.2,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10
35,9339,Weston Way,1051,1219,All,16_1_31.5,16_1_31.5,5.17_1_70.54,5.17_1_70.54,5.17_1_70.54,5.17_1_70.54,5.17_1_70.54,5.17_1_70.54,5.17_1_70.54,5.17_1_70.54,5.17_1_70.54,4.76_1_64.89,4.76_1_64.89,4.76_1_64.89,4.76_1_64.89,4.76_1_64.89,4.76_1_64.89,4.76_1_64.89,4.76_1_64.89,4.76_1_64.89,4.36_1_59.41,4.36_1_59.41,4.36_1_59.41,4.36_1_59.41,4.36_1_59.41,4.36_1_59.41,4.36_1_59.41,4.36_1_59.41,4.36_1_59.41,3.97_1_54.13,3.97_1_54.13
36,9339,Weston Way,1237,1589,All,16_1_29.85,5.03_1_68.63,5.03_1_68.63,5.03_1_68.63,5.03_1_68.63,5.03_1_68.63,5.03_1_68.63,5.03_1_68.63,5.03_1_68.63,5.03_1_68.63,4.61_1_62.81,4.61_1_62.81,4.61_1_62.81,4.61_1_62.81,4.61_1_62.81,4.61_1_62.81,4.61_1_62.81,4.61_1_62.81,4.61_1_62.81,4.19_1_57.19,4.19_1_57.19,4.19_1_57.19,4.19_1_57.19,4.19_1_57.19,4.19_1_57.19,4.19_1_57.19,4.19_1_57.19,4.19_1_57.19,3.8_1_51.8,3.8_1_51.8,3.8_1_51.8
37,9339,Weston Way,1589,1999,All,16_1_29.84,5.03_1_68.62,5.03_1_68.62,5.03_1_68.62,5.03_1_68.62,5.03_1_68.62,5.03_1_68.62,5.03_1_68.62,5.03_1_68.62,5.03_1_68.62,4.6_1_62.79,4.6_1_62.79,4.6_1_62.79,4.6_1_62.79,4.6_1_62.79,4.6_1_62.79,4.6_1_62.79,4.6_1_62.79,4.6_1_62.79,4.19_1_57.17,4.19_1_57.17,4.19_1_57.17,4.19_1_57.17,4.19_1_57.17,4.19_1_57.17,4.19_1_57.17,4.19_1_57.17,4.19_1_57.17,3.8_1_51.79,3.8_1_51.79,3.8_1_51.79
38,9339,Weston Way,1999,2369,All,16_1_41.35,6.2_1_84.49,6.2_1_84.49,6.2_1_84.49,6.2_1_84.49,6.2_1_84.49,6.2_1_84.49,6.2_1_84.49,6.2_1_84.49,6.2_1_84.49,5.72_1_78.05,5.72_1_78.05,5.72_1_78.05,5.72_1_78.05,5.72_1_78.05,5.72_1_78.05,5.72_1_78.05,5.72_1_78.05,5.72_1_78.05,5.26_1_71.79,5.26_1_71.79,5.26_1_71.79,5.26_1_71.79,5.26_1_71.79,5.26_1_71.79,5.26_1_71.79,5.26_1_71.79,5.26_1_71.79,4.82_1_65.71,4.82_1_65.71,4.82_1_65.71
39,9339,Weston Way,2385,2696,All,15.01_1_40.43,15.01_1_40.43,8.31_1_83.09,8.31_1_83.09,8.31_1_83.09,8.31_1_83.09,8.31_1_83.09,8.31_1_83.09,8.31_1_83.09,8.31_1_83.09,8.31_1_83.09,8.31_1_83.09,8.31_1_83.09,8.31_1_83.09,7.66_1_76.57,7.66_1_76.57,7.66_1_76.57,7.66_1_76.57,7.66_1_76.57,7.66_1_76.57,7.66_1_76.57,7.66_1_76.57,7.66_1_76.57,7.66_1_76.57,7.66_1_76.57,7.66_1_76.57,7.01_1_70.13,7.01_1_70.13,7.01_1_70.13,7.01_1_70.13,7.01_1_70.13
40,9339,Weston Way,2696,3114,All,20.01_0.5_150.03,6.13_1_83.63,6.13_1_83.63,6.13_1_83.63,6.13_1_83.63,6.13_1_83.63,6.13_1_83.63,6.13_1_83.63,6.13_1_83.63,6.13_1_83.63,5.77_1_78.74,5.77_1_78.74,5.77_1_78.74,5.77_1_78.74,5.77_1_78.74,5.77_1_78.74,5.77_1_78.74,5.77_1_78.74,5.77_1_78.74,5.42_1_73.88,5.42_1_73.88,5.42_1_73.88,5.42_1_73.88,5.42_1_73.88,5.42_1_73.88,5.42_1_73.88,5.42_1_73.88,5.42_1_73.88,5.06_1_69.06,5.06_1_69.06,5.06_1_69.06
41,9339,Weston Way,3114,3398,All,16.02_1_45.16,16.02_1_45.16,16.02_1_45.16,8.83_1_88.28,8.83_1_88.28,8.83_1_88.28,8.83_1_88.28,8.83_1_88.28,8.83_1_88.28,8.83_1_88.28,8.83_1_88.28,8.83_1_88.28,8.83_1_88.28,8.83_1_88.28,8.83_1_88.28,8.25_1_82.5,8.25_1_82.5,8.25_1_82.5,8.25_1_82.5,8.25_1_82.5,8.25_1_82.5,8.25_1_82.5,8.25_1_82.5,8.25_1_82.5,8.25_1_82.5,8.25_1_82.5,8.25_1_82.5,7.67_1_76.7,7.67_1_76.7,7.67_1_76.7,7.67_1_76.7
