"file_row_index","file_section_name","file_seg_name","file_section_id","file_loc_from","file_loc_to","file_lane_name","file_length","file_area_m2","file_can_treat_flag","file_is_rehab_route_flag","file_is_roundabout_flag","file_next_surf","file_urban_rural","file_onrc","file_nzta_hierarchy","file_onf_street_category","file_onf_movement_rank","file_onf_freight","file_road_use","file_road_class","file_no_of_lanes","file_pave_use","file_adt","file_heavy_perc","file_no_of_bus_routes","file_traff_growth_perc","file_surf_class","file_surf_date","file_surf_function","file_surf_material","file_surf_life_expected","file_surf_layer_no","file_surf_thick","file_pave_type","file_pave_date","file_pave_remlife","file_msd_remlife_lwp","file_msd_remlife_rwp","file_fwd_d0_85","file_fwd_sci_85","file_su_fault_qty","file_pa_fault_qty","file_roughsegment_date","file_naasra_85","file_hsd_date","file_rut_lwpmean_85","file_rut_rwpmean_85","file_cond_survey_date","file_pct_allig","file_pct_lt_crax","file_pct_poth","file_pct_scabb","file_pct_flush","file_pct_shove","file_pct_edgebreak"
25,"Port Street East",398000,917,2120,2350,"All",230,1334,TRUE,TRUE,FALSE,"seal","R","Access","LOCAL","zz","zz","zz","zz","RL",2,1,90,8,0,2,"seal","19/03/2008","R","2CHIP",18,3,24,TRUE,"2/01/1981",7,-1,-1,-1,-1,0,0,"13/10/2023",119,"1/04/2024",3,1,"1/04/2024",0,0,0,0,0,0,0
26,"Puriri Dale Way",677000,13,0,293,"All",293,3376,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,2,338,3,0,2,"seal","16/01/2006","R","2CHIP",10,4,36,TRUE,"25/07/1925",-48,-1,-1,-1,-1,0,0,"6/10/2023",84,"1/04/2024",3,1,"1/04/2024",0,0,0,0.4,0,0,0
27,"Fendall Close",495000,15,0,438,"All",438,5480,TRUE,TRUE,FALSE,"seal","U","Primary Collector","LOCAL","zz","zz","zz","zz","UH",2,5,4503,2.1,0,2,"seal","27/03/2013","R","2CHIP",12,5,48,TRUE,"2/12/1966",-7,-1,-1,-1,-1,0,0,"7/10/2023",81,"1/04/2024",3,1,"1/04/2024",0.2,0.1,0.01,0.1,0,0,0
28,"Fendall Close",628000,15,438,585,"All",147,1852,TRUE,TRUE,FALSE,"seal","U","Primary Collector","LOCAL","zz","zz","zz","zz","UH",2,5,7693,3,0,2,"seal","26/04/2017","R","2CHIP",10,1,11,TRUE,"26/04/2017",43,-1,-1,-1,-1,0,0,"7/10/2023",104,"1/04/2024",3,1,"1/04/2024",0,0,0,0.1,0,0,0
29,"Fendall Close",631000,15,585,643,"All",58,731,TRUE,TRUE,FALSE,"seal","U","Primary Collector","LOCAL","zz","zz","zz","zz","UH",2,5,7693,3,0,2,"ac","28/04/2017","R","AC",18,2,51,TRUE,"26/04/2017",43,-1,-1,-1,-1,0,0,"7/10/2023",84,"1/04/2024",2,1,"1/04/2024",0,0,0,0,0,0,0
30,"Fendall Close",389000,15,643,736,"All",93,1902,TRUE,TRUE,FALSE,"seal","U","Primary Collector","LOCAL","zz","zz","zz","zz","UH",2,6,11256,3,0,2,"seal","26/04/2017","R","2CHIP",10,1,11,TRUE,"2/01/1966",-8,-1,-1,-1,-1,0,0,"7/10/2023",111,"1/04/2024",4,1,"1/04/2024",2.4,1.2,0,0,0,0,0
31,"Fendall Close",950000,15,736,814,"All",78,1763,TRUE,TRUE,FALSE,"seal","U","Primary Collector","LOCAL","zz","zz","zz","zz","UH",2,6,12232,3,0,2,"seal","24/01/2002","R","2CHIP",10,3,35,TRUE,"2/01/1966",-8,-1,-1,-1,-1,0,0,"7/10/2023",91,"1/04/2024",2,1,"1/04/2024",0,0.2,0,0,0,1,0
32,"Weston Way",885000,9339,814,886,"All",72,1655,TRUE,TRUE,FALSE,"ac","U","Arterial","MINOR ARTERIAL","zz","zz","zz","zz","UH",2,6,10011,3,0,2,"seal","24/01/2002","R","2CHIP",10,3,35,TRUE,"2/01/1953",-21,-1,-1,-1,-1,0,0,"7/10/2023",106,"1/04/2024",3,1,"1/04/2024",6,0.2,0,0,0,0,0
33,"Weston Way",619000,9339,886,939,"All",53,1219,TRUE,TRUE,FALSE,"ac","U","Arterial","MINOR ARTERIAL","zz","zz","zz","zz","UH",2,5,9879,3,0,2,"ac","3/04/2013","R","AC",14,3,38,TRUE,"2/01/1953",-21,-1,-1,-1,-1,0,0,"7/10/2023",107,"1/04/2024",4,1,"1/04/2024",0,0,0,0,0,0,0
34,"Weston Way",750000,9339,965,1051,"All",86,1909,TRUE,TRUE,FALSE,"seal","U","Arterial","MINOR ARTERIAL","zz","zz","zz","zz","UH",2,5,9879,3,0,2,"ac","3/04/2013","R","AC",18,1,30,TRUE,"2/01/1953",-21,-1,-1,-1,-1,0,0,"7/10/2023",104,"1/04/2024",3,1,"1/04/2024",0,0,0,0,0,0,0
35,"Weston Way",516000,9339,1051,1219,"All",168,3730,TRUE,TRUE,FALSE,"seal","U","Arterial","MINOR ARTERIAL","zz","zz","zz","zz","UH",2,5,9879,3,0,2,"seal","25/02/2008","R","2CHIP",11,3,37,TRUE,"2/01/1953",-21,-1,-1,-1,-1,0,0,"7/10/2023",110,"1/04/2024",3,1,"1/04/2024",0,0,0,0,0,0,0
36,"Weston Way",532000,9339,1237,1589,"All",352,4542,TRUE,TRUE,FALSE,"seal","U","Arterial","MINOR ARTERIAL","zz","zz","zz","zz","UH",2,6,10525,4,0,2,"seal","25/02/2008","R","2CHIP",9,4,35,TRUE,"2/01/1953",-21,-1,-1,-1,-1,0,0,"7/10/2023",99,"1/04/2024",3,1,"1/04/2024",0.3,0,0.01,0,0,2.5,0
37,"Weston Way",803000,9339,1589,1999,"All",410,5453,TRUE,TRUE,FALSE,"seal","U","Arterial","MINOR ARTERIAL","zz","zz","zz","zz","UH",2,6,10543,4,0,2,"seal","25/02/2008","R","2CHIP",9,4,35,TRUE,"2/01/1953",-21,-1,-1,-1,-1,0,0,"7/10/2023",82,"1/04/2024",3,1,"1/04/2024",0.3,0,0.01,0,0,2.5,0
38,"Weston Way",428000,9339,1999,2369,"All",370,4863,TRUE,TRUE,FALSE,"seal","U","Arterial","COLLECTOR","zz","zz","zz","zz","UH",2,5,8830,3.6,0,2,"seal","25/02/2008","R","2CHIP",9,6,53,TRUE,"1/12/1977",4,-1,-1,-1,-1,0,0,"7/10/2023",91,"1/04/2024",3,1,"1/04/2024",0.3,0,0.01,0,0,2.5,0
39,"Weston Way",61000,9339,2385,2696,"All",311,3919,TRUE,TRUE,FALSE,"seal","U","Secondary Collector","COLLECTOR","zz","zz","zz","zz","UM",2,4,2908,2,0,2,"seal","25/02/2008","R","2CHIP",11,2,29,TRUE,"11/05/1957",-17,-1,-1,-1,-1,0,0,"7/10/2023",124,"1/04/2024",4,1,"1/04/2024",0.4,0.9,0,0.1,0,0,0
40,"Weston Way",576000,9339,2696,3114,"All",418,5247,TRUE,TRUE,FALSE,"seal","U","Primary Collector","COLLECTOR","zz","zz","zz","zz","UH",2,4,2908,2,0,2,"seal","25/02/2008","R","2CHIP",11,3,37,TRUE,"13/05/1957",-17,-1,-1,-1,-1,0,0,"7/10/2023",146,"1/04/2024",4,1,"1/04/2024",0.4,0.7,0,0.1,0,0,0
41,"Weston Way",119000,9339,3114,3398,"All",284,3578,TRUE,TRUE,FALSE,"seal","U","Secondary Collector","LOCAL","zz","zz","zz","zz","UM",2,3,1047,2,0,2,"seal","25/02/2008","R","2CHIP",14,3,37,TRUE,"16/05/1957",-17,-1,-1,-1,-1,0,0,"7/10/2023",116,"1/04/2024",3,1,"1/04/2024",0.2,0.2,0,0,0,0,0
42,"Weston Way",325000,9339,3398,3457,"All",59,743,TRUE,TRUE,FALSE,"seal","U","Secondary Collector","LOCAL","zz","zz","zz","zz","UM",2,3,1047,2,0,2,"ac","28/02/2005","R","AC",20,2,31,TRUE,"10/04/1996",22,-1,-1,-1,-1,0,0,"7/10/2023",104,"1/04/2024",3,1,"1/04/2024",0,0,0,0,0,0.8,0
43,"Weston Way",741000,9339,3457,3675,"All",218,2747,TRUE,TRUE,FALSE,"ac","U","Secondary Collector","LOCAL","zz","zz","zz","zz","UM",2,3,1047,2,0,2,"ac","25/11/2007","R","AC",25,1,20,TRUE,"6/04/2007",33,-1,-1,-1,-1,0,0,"7/10/2023",107,"1/04/2024",2,1,"1/04/2024",0,0.1,0,0,0,0,0
44,"Foxglove Drive",329000,9167,0,668,"All",668,4008,TRUE,TRUE,FALSE,"seal","R","Access","LOCAL","zz","zz","zz","zz","RL",2,3,1230,21,0,2,"ac","10/02/2011","R","AC",35,1,30,TRUE,"12/05/2011",37,-1,-1,-1,-1,0,0,"10/10/2023",76,"1/04/2024",2,1,"1/04/2024",2.3,0.4,0,0,0,0,0
45,"Sarah Lane",538000,16,0,515,"All",515,4602,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,877,3,0,2,"seal","17/12/2007","R","2CHIP",17,3,24,TRUE,"2/01/1965",-9,-1,-1,-1,-1,0,0,"4/10/2023",93,"1/04/2024",2,1,"1/04/2024",0,0,0,0,0.9,0,0
46,"Ash Drive",324000,17,0,318,"All",318,2353,TRUE,TRUE,FALSE,"seal","U","Secondary Collector","LOCAL","zz","zz","zz","zz","UM",2,2,454,5,0,2,"seal","5/03/2019","R","2CHIP",12,4,28,TRUE,"2/01/1925",-49,-1,-1,-1,-1,0,0,"7/10/2023",146,"1/04/2024",4,1,"1/04/2024",0,0.1,0,0,0,0,0
47,"Monaghan Way",311000,18,0,80,"All",80,648,TRUE,TRUE,FALSE,"seal","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,1,43,3,0,2,"seal","14/03/2018","R","2CHIP",15,1,4,TRUE,"14/03/2018",44,-1,-1,-1,-1,0,0,"1/04/2024",60,"1/04/2024",3,1,"1/04/2024",0,0,0,0,0,0,0
48,"Cousins Avenue East",529000,1035,0,61,"All",61,427,TRUE,TRUE,FALSE,"ac","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,2,135,2,0,2,"ac","24/11/1995","R","AC",30,2,30,TRUE,"4/11/1995",22,-1,-1,-1,-1,0,0,"1/04/2024",60,"1/04/2024",2,1,"1/04/2024",0,0,0,0,0,0,0
49,"Elm Close",125000,19,0,82,"All",82,508,TRUE,TRUE,FALSE,"seal","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,1,92,3,0,2,"seal","18/03/2018","R","RACK",12,5,24,TRUE,"4/01/1955",-19,-1,-1,-1,-1,0,0,"1/04/2024",166,"1/04/2024",2,1,"1/04/2024",0,0,0,1.2,0,0,0
