elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053
24,917,Port Street East,1431,2115,All,16.82_0.1_140.19,16.82_0.1_140.19,16.82_0.1_140.19,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.31_1_120.88,15.31_1_120.88,15.31_1_120.88,15.31_1_120.88,15.31_1_120.88,15.31_1_120.88,15.31_1_120.88,15.31_1_120.88,15.31_1_120.88,15.31_1_120.88,15.31_1_120.88
25,917,Port Street East,2120,2350,All,16.82_0.1_140.2,16.82_0.1_140.2,16.82_0.1_140.2,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.53_1_122.58,15.31_1_120.88,15.31_1_120.88,15.31_1_120.88,15.31_1_120.88,15.31_1_120.88,15.31_1_120.88,15.31_1_120.88,15.31_1_120.88,15.31_1_120.88,15.31_1_120.88,15.31_1_120.88
26,13,Puriri Dale Way,0,293,All,18_0.1_133.67,18_0.1_133.67,13.71_1_108.26,13.71_1_108.26,13.71_1_108.26,13.71_1_108.26,13.71_1_108.26,13.71_1_108.26,13.71_1_108.26,13.71_1_108.26,13.71_1_108.26,13.71_1_108.26,13.71_1_108.26,13.71_1_108.26,13.71_1_108.26,13.71_1_108.26,13.71_1_108.26,13.5_1_106.54,13.5_1_106.54,13.5_1_106.54,13.5_1_106.54,13.5_1_106.54,13.5_1_106.54,13.5_1_106.54,13.5_1_106.54,13.5_1_106.54,13.5_1_106.54,13.5_1_106.54,13.5_1_106.54,13.5_1_106.54,13.5_1_106.54
27,15,Fendall Close,0,438,All,10.77_0.1_134.06,10.77_0.1_134.06,10.77_0.1_134.06,7.97_1_108.74,7.97_1_108.74,7.97_1_108.74,7.97_1_108.74,7.97_1_108.74,7.97_1_108.74,7.97_1_108.74,7.97_1_108.74,7.97_1_108.74,7.87_1_107.29,7.87_1_107.29,7.87_1_107.29,7.87_1_107.29,7.87_1_107.29,7.87_1_107.29,7.87_1_107.29,7.87_1_107.29,7.87_1_107.29,7.76_1_105.85,7.76_1_105.85,7.76_1_105.85,7.76_1_105.85,7.76_1_105.85,7.76_1_105.85,7.76_1_105.85,7.76_1_105.85,7.76_1_105.85,7.66_1_104.39
28,15,Fendall Close,438,585,All,9.2_0.1_138.02,9.2_0.1_138.02,9.2_0.1_138.02,9.2_0.1_138.02,8.54_1_116.48,8.54_1_116.48,8.54_1_116.48,8.54_1_116.48,8.54_1_116.48,8.54_1_116.48,8.54_1_116.48,8.54_1_116.48,8.54_1_116.48,8.54_1_116.48,8.35_1_113.8,8.35_1_113.8,8.35_1_113.8,8.35_1_113.8,8.35_1_113.8,8.35_1_113.8,8.35_1_113.8,8.35_1_113.8,8.35_1_113.8,8.35_1_113.8,8.18_1_111.49,8.18_1_111.49,8.18_1_111.49,8.18_1_111.49,8.18_1_111.49,8.18_1_111.49,8.18_1_111.49
29,15,Fendall Close,585,643,All,16.57_0.1_138.05,16.57_0.1_138.05,16.57_0.1_138.05,16.57_0.1_138.05,16.57_0.1_138.05,16.57_0.1_138.05,16.57_0.1_138.05,16.57_0.1_138.05,16.57_0.1_138.05,16.57_0.1_138.05,16.57_0.1_138.05,16.57_0.1_138.05,10.01_1_136.5,10.01_1_136.5,10.01_1_136.5,10.01_1_136.5,10.01_1_136.5,10.01_1_136.5,10.01_1_136.5,10.01_1_136.5,10.01_1_136.5,10.01_1_136.5,10.01_1_136.5,10.01_1_136.5,8.18_1_111.49,8.18_1_111.49,8.18_1_111.49,8.18_1_111.49,8.18_1_111.49,8.18_1_111.49,8.18_1_111.49
30,15,Fendall Close,643,736,All,8.82_0.1_132.33,8.82_0.1_132.33,8.82_0.1_132.33,8.82_0.1_132.33,7.79_1_106.25,7.79_1_106.25,7.79_1_106.25,7.79_1_106.25,7.79_1_106.25,7.79_1_106.25,7.79_1_106.25,7.79_1_106.25,7.79_1_106.25,7.67_1_104.56,7.67_1_104.56,7.67_1_104.56,7.67_1_104.56,7.67_1_104.56,7.67_1_104.56,7.67_1_104.56,7.67_1_104.56,7.67_1_104.56,7.54_1_102.87,7.54_1_102.87,7.54_1_102.87,7.54_1_102.87,7.54_1_102.87,7.54_1_102.87,7.54_1_102.87,7.54_1_102.87,7.54_1_102.87
31,15,Fendall Close,736,814,All,22_0.1_132.54,22_0.1_132.54,7.81_1_106.47,7.81_1_106.47,7.81_1_106.47,7.81_1_106.47,7.81_1_106.47,7.81_1_106.47,7.81_1_106.47,7.81_1_106.47,7.81_1_106.47,7.68_1_104.77,7.68_1_104.77,7.68_1_104.77,7.68_1_104.77,7.68_1_104.77,7.68_1_104.77,7.68_1_104.77,7.68_1_104.77,7.68_1_104.77,7.56_1_103.06,7.56_1_103.06,7.56_1_103.06,7.56_1_103.06,7.56_1_103.06,7.56_1_103.06,7.56_1_103.06,7.56_1_103.06,7.56_1_103.06,7.43_1_101.34,7.43_1_101.34
32,9339,Weston Way,814,886,All,22_0.1_130.27,22_0.1_130.27,22_0.1_130.27,22_0.1_130.27,22_0.1_130.27,9.05_1_104.43,9.05_1_104.43,9.05_1_104.43,9.05_1_104.43,9.05_1_104.43,9.05_1_104.43,9.05_1_104.43,9.05_1_104.43,11.36_1_131.06,11.36_1_131.06,11.36_1_131.06,11.36_1_131.06,11.36_1_131.06,11.36_1_131.06,11.36_1_131.06,11.36_1_131.06,11.29_1_130.3,11.29_1_130.3,11.29_1_130.3,11.29_1_130.3,11.29_1_130.3,11.29_1_130.3,11.29_1_130.3,11.29_1_130.3,11.23_1_129.53,11.23_1_129.53
33,9339,Weston Way,886,939,All,12.34_0.1_132.25,12.34_0.1_132.25,12.34_0.1_132.25,12.34_0.1_132.25,12.34_0.1_132.25,11.42_1_131.8,11.42_1_131.8,11.42_1_131.8,11.42_1_131.8,11.42_1_131.8,11.42_1_131.8,11.42_1_131.8,11.42_1_131.8,11.42_1_131.8,11.42_1_131.8,11.34_1_130.89,11.34_1_130.89,11.34_1_130.89,11.34_1_130.89,11.34_1_130.89,11.34_1_130.89,11.34_1_130.89,11.34_1_130.89,11.28_1_130.13,11.28_1_130.13,11.28_1_130.13,11.28_1_130.13,11.28_1_130.13,11.28_1_130.13,11.28_1_130.13,11.28_1_130.13
