file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,elem_index,treatment,treat_category,budget_category,period,period_calendar,forced,follow_up,treatment_cost,treatment_qty,treatment_comment,treatment_reason,is_committed
10,Upper Ahu Ahu Road,0,46,All,14,ChipSeal_P,Preserve,Mono,1,2024,True,False,3680,368,committed import,committed,True
32,Karearea Lane,84,154,All,74,ChipSeal_P,Preserve,Mono,1,2024,True,False,7920,792,committed import,committed,True
32,Karearea Lane,154,820,All,75,ChipSeal_P,Preserve,Mono,1,2024,True,False,77210,7721,committed import,committed,True
3,Matai Way,0,557,All,278,ChipSeal_P,Preserve,Mono,1,2024,False,False,51240,5124,mesh_cracks =0; shove =0; poth =1.16,pdi =11.56; sdi =11.56; age =19,False
20,Burkes Creek Road,765,1789,All,173,ChipSeal_P,Preserve,Mono,1,2024,False,False,133120,13312,mesh_cracks =10.11; shove =0; poth =0,pdi =10.11; sdi =0; age =12,False
9,Kowhai Glen,0,305,All,347,ChipSeal_P,Preserve,Mono,1,2024,False,False,27740,2774,mesh_cracks =0; shove =2.57; poth =0,pdi =2.57; sdi =5.47; age =34,False
23,Apple Orchard Lane,0,185,All,317,ChipSeal_P,Preserve,Mono,1,2024,False,False,18500,1850,mesh_cracks =0; shove =0; poth =0.47,pdi =4.73; sdi =4.73; age =37,False
30,Curly McLeod Way,0,69,All,343,ChipSeal_P,Preserve,Mono,1,2024,False,False,5520,552,mesh_cracks =0; shove =0; poth =0,pdi =0; sdi =9.96; age =17,False
9339,Weston Way,814,886,All,32,RMaint,Maintenance,Mono,1,2024,False,False,572.89,572.8907828316218,mesh_cracks =6; shove =0; poth =0,pdi =6.04; sdi =0.1; age =22,False
30,Curly McLeod Way,69,82,All,72,RMaint,Maintenance,Mono,1,2024,False,False,21.23,21.229585386412715,mesh_cracks =5.5; shove =0; poth =0,pdi =5.72; sdi =0.55; age =39,False
23,Apple Orchard Lane,0,185,All,106,RMaint,Maintenance,Mono,1,2024,False,False,431.39,431.3931492609148,mesh_cracks =0; shove =0; poth =0,pdi =7.85; sdi =19.63; age =37,False
6,Croatia Avenue,0,42,All,119,RMaint,Maintenance,Mono,1,2024,False,False,117.72,117.71777257164072,mesh_cracks =18.2; shove =0; poth =0.07,pdi =18.87; sdi =0.67; age =9,False
1092,Bronte Road East,156,183,All,130,RMaint,Maintenance,Mono,1,2024,False,False,36.59,36.58772691178402,mesh_cracks =0; shove =0; poth =0,pdi =5.27; sdi =13.17; age =22,False
10,Upper Ahu Ahu Road,46,68,All,136,RMaint,Maintenance,Mono,1,2024,False,False,40.81,40.80645773215087,mesh_cracks =0; shove =0; poth =0,pdi =7.12; sdi =17.8; age =12,False
11,Lower Ahu Ahu Road,158,179,All,140,RMaint,Maintenance,Mono,1,2024,False,False,46.66,46.662018674544896,mesh_cracks =0; shove =5.58; poth =0,pdi =7.65; sdi =5.16; age =8,False
7056,Dawick Street,78,88,All,170,RMaint,Maintenance,Mono,1,2024,False,False,25.15,25.152349185956215,mesh_cracks =7.98; shove =0; poth =0,pdi =12.24; sdi =10.63; age =8,False
9339,Weston Way,1999,2369,All,244,ChipSeal_P,Preserve,Mono,2,2025,False,False,48630,4863,mesh_cracks =0.17; shove =0.08; poth =0.07,pdi =2.86; sdi =5.57; age =17,False
9339,Weston Way,1051,1219,All,260,ChipSeal_P,Preserve,Mono,2,2025,False,False,37300,3730,mesh_cracks =0.23; shove =0.08; poth =0.08,pdi =2.66; sdi =4.9; age =17,False
9339,Weston Way,1589,1999,All,128,ChipSeal_P,Preserve,Mono,2,2025,False,False,54530,5453,mesh_cracks =0.23; shove =0.08; poth =0.08,pdi =1.16; sdi =1.14; age =17,False
9339,Weston Way,1051,1219,All,285,ChipSeal_P,Preserve,Mono,2,2025,False,False,37300,3730,mesh_cracks =0.22; shove =0.08; poth =0.08,pdi =1.13; sdi =1.12; age =17,False
15,Fendall Close,438,585,All,305,ChipSeal_P,Preserve,Mono,2,2025,False,False,18520,1852,mesh_cracks =1; shove =0; poth =0,pdi =1.03; sdi =15.36; age =8,False
9339,Weston Way,2696,3114,All,134,ChipSeal_P,Preserve,Mono,2,2025,False,False,52470,5247,mesh_cracks =0.16; shove =0.08; poth =0.07,pdi =1.04; sdi =1.05; age =17,False
9339,Weston Way,1589,1999,All,313,ChipSeal_P,Preserve,Mono,2,2025,False,False,54530,5453,mesh_cracks =0.23; shove =0.08; poth =0.08,pdi =1.16; sdi =1.14; age =17,False
9339,Weston Way,1051,1219,All,498,ChipSeal_P,Preserve,Mono,2,2025,False,False,37300,3730,mesh_cracks =0.22; shove =0.08; poth =0.08,pdi =1.13; sdi =1.12; age =17,False
917,Port Street East,2120,2350,All,402,ChipSeal_P,Preserve,Mono,2,2025,False,False,13340,1334,mesh_cracks =0.1; shove =1; poth =0.84,pdi =9.56; sdi =9.49; age =17,False
15,Fendall Close,736,814,All,381,ChipSeal_P,Preserve,Mono,2,2025,False,False,17630,1763,mesh_cracks =0.32; shove =0.08; poth =0.08,pdi =9.22; sdi =21.09; age =23,False
9339,Weston Way,2385,2696,All,167,ChipSeal_P,Preserve,Mono,2,2025,False,False,39190,3919,mesh_cracks =0.16; shove =0.08; poth =0.07,pdi =1.04; sdi =1.05; age =17,False
9339,Weston Way,2385,2696,All,395,ChipSeal_P,Preserve,Mono,2,2025,False,False,39190,3919,mesh_cracks =0.16; shove =0.08; poth =0.07,pdi =1.04; sdi =1.05; age =17,False
917,Port Street East,1340,1431,All,184,ChipSeal_P,Preserve,Mono,2,2025,False,False,4870,487,mesh_cracks =0.1; shove =0.07; poth =0.07,pdi =0.91; sdi =0.92; age =20,False
917,Port Street East,1340,1431,All,392,ChipSeal_P,Preserve,Mono,2,2025,False,False,4870,487,mesh_cracks =0.1; shove =0.07; poth =0.07,pdi =0.91; sdi =0.92; age =20,False
917,Port Street East,874,1340,All,462,ChipSeal_P,Preserve,Mono,2,2025,False,False,23300,2330,mesh_cracks =0.1; shove =0.07; poth =0.07,pdi =0.91; sdi =0.92; age =20,False
9339,Weston Way,2385,2696,All,241,ChipSeal_P,Preserve,Mono,2,2025,False,False,39190,3919,mesh_cracks =0.17; shove =0.08; poth =0.07,pdi =2.15; sdi =3.79; age =17,False
917,Port Street East,396,874,All,463,ChipSeal_P,Preserve,Mono,2,2025,False,False,29480,2948,mesh_cracks =0.1; shove =0.07; poth =0.07,pdi =0.91; sdi =0.92; age =20,False
28,Stirrup Lane,0,261,All,329,ChipSeal_P,Preserve,Mono,2,2025,False,False,25580,2558,mesh_cracks =0.15; shove =0; poth =0,pdi =0.21; sdi =26.19; age =9,False
917,Port Street East,396,874,All,421,ChipSeal_P,Preserve,Mono,2,2025,False,False,29480,2948,mesh_cracks =0.11; shove =0.07; poth =0.07,pdi =2.26; sdi =4.27; age =20,False
