elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
45,16,Sarah Lane,0,515,All,16_1_46.96,16_1_46.96,16_1_46.96,16_1_46.96,16_1_46.96,16_1_46.96,16_1_46.96,16_1_46.96,16_1_46.96,16_1_46.96,16_1_46.96,16_1_46.96,16_1_46.96,16_1_46.96,16_1_46.96,16_1_46.96
46,17,Ash Drive,0,318,All,5.01_1_35.79,5.01_1_35.79,5.01_1_35.79,5.01_1_35.79,5.01_1_35.79,5.01_1_35.79,5.01_1_35.79,5.01_1_35.79,5.01_1_35.79,5.01_1_35.79,5.01_1_35.79,5.01_1_35.79,5.01_1_35.79,5.01_1_35.79,5.01_1_35.79,1_1_10
47,18,Monaghan Way,0,80,All,8.43_1_84.33,8.43_1_84.33,8.43_1_84.33,8.43_1_84.33,8.43_1_84.33,8.43_1_84.33,8.43_1_84.33,8.43_1_84.33,8.43_1_84.33,8.43_1_84.33,8.43_1_84.33,8.43_1_84.33,8.43_1_84.33,8.43_1_84.33,8.43_1_84.33,8.43_1_84.33
48,1035,Cousins Avenue East,0,61,All,28_1_68.5,28_1_68.5,28_1_68.5,28_1_68.5,28_1_68.5,28_1_68.5,28_1_68.5,28_1_68.5,28_1_68.5,28_1_68.5,28_1_68.5,28_1_68.5,28_1_68.5,28_1_68.5,28_1_68.5,28_1_68.5
49,19,Elm Close,0,82,All,6_1_51.91,6_1_51.91,6_1_51.91,6_1_51.91,6_1_51.91,6_1_51.91,6_1_51.91,6_1_51.91,6_1_51.91,6_1_51.91,6_1_51.91,6_1_51.91,6_1_51.91,6_1_51.91,6_1_51.91,6_1_51.91
50,19,Elm Close,82,101,All,6_1_53.14,6_1_53.14,6_1_53.14,6_1_53.14,6_1_53.14,6_1_53.14,6_1_53.14,6_1_53.14,6_1_53.14,6_1_53.14,6_1_53.14,6_1_53.14,6_1_53.14,6_1_53.14,6_1_53.14,6_1_53.14
51,20,Burkes Creek Road,0,21,All,10_1_45.12,10_1_45.12,10_1_45.12,10_1_45.12,10_1_45.12,10_1_45.12,10_1_45.12,10_1_45.12,10_1_45.12,6.17_1_84.12,6.17_1_84.12,6.17_1_84.12,6.17_1_84.12,6.17_1_84.12,6.17_1_84.12,6.17_1_84.12
52,20,Burkes Creek Road,21,520,All,10_1_44.77,10_1_44.77,10_1_44.77,10_1_44.77,10_1_44.77,10_1_44.77,10_1_44.77,10_1_44.77,10_1_44.77,10_1_44.77,10_1_44.77,10_1_44.77,10_1_44.77,10_1_44.77,10_1_44.77,10_1_44.77
53,20,Burkes Creek Road,549,697,All,12_1_46.73,12_1_46.73,12_1_46.73,12_1_46.73,12_1_46.73,12_1_46.73,12_1_46.73,12_1_46.73,12_1_46.73,12_1_46.73,12_1_46.73,12_1_46.73,12_1_46.73,12_1_46.73,12_1_46.73,12_1_46.73
54,20,Burkes Creek Road,697,765,All,10.04_1_47.7,10.04_1_47.7,10.04_1_47.7,10.04_1_47.7,10.04_1_47.7,10.04_1_47.7,10.04_1_47.7,10.04_1_47.7,10.04_1_47.7,10.04_1_47.7,10.04_1_47.7,10.04_1_47.7,10.04_1_47.7,10.04_1_47.7,10.04_1_47.7,10.04_1_47.7
55,20,Burkes Creek Road,765,1789,All,12_1_46.14,12_1_46.14,12_1_46.14,12_1_46.14,12_1_46.14,12_1_46.14,12_1_46.14,12_1_46.14,12_1_46.14,12_1_46.14,12_1_46.14,12_1_46.14,12_1_46.14,12_1_46.14,12_1_46.14,12_1_46.14
56,21,Tapeka Heights Lane,0,277,All,17_1_34.88,17_1_34.88,17_1_34.88,17_1_34.88,17_1_34.88,17_1_34.88,17_1_34.88,17_1_34.88,17_1_34.88,17_1_34.88,17_1_34.88,17_1_34.88,17_1_34.88,17_1_34.88,17_1_34.88,17_1_34.88
57,22,Sir John McKenzie Drive,0,530,All,8_1_51.27,8_1_51.27,8_1_51.27,8_1_51.27,8_1_51.27,8_1_51.27,8_1_51.27,8_1_51.27,8_1_51.27,8_1_51.27,8_1_51.27,8_1_51.27,8_1_51.27,8_1_51.27,8_1_51.27,8_1_51.27
58,23,Apple Orchard Lane,0,185,All,20.04_0.5_150.03,20.04_0.5_150.03,20.04_0.5_150.03,20.04_0.5_150.03,20.04_0.5_150.03,20.04_0.5_150.03,20.04_0.5_150.03,20.04_0.5_150.03,20.04_0.5_150.03,20.04_0.5_150.03,20.04_0.5_150.03,20.04_0.5_150.03,20.04_0.5_150.03,20.04_0.5_150.03,20.04_0.5_150.03,20.04_0.5_150.03
